------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                         CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
threshold_                                   48.450us         75.438us                1         48.450us         75.438us
conv2d                                      208.954us       2467.688us                1        208.954us       2467.688us
convolution                                 197.586us       2464.562us                1        197.586us       2464.562us
_convolution                                187.436us       2461.375us                1        187.436us       2461.375us
contiguous                                    5.438us          1.562us                1          5.438us          1.562us
empty                                         9.658us          1.500us                1          9.658us          1.500us
cudnn_convolution                           140.967us       2451.188us                1        140.967us       2451.188us
add_                                         47.102us          8.250us                1         47.102us          8.250us
batch_norm                                  165.799us        625.312us                1        165.799us        625.312us
_batch_norm_impl_index                      152.849us        622.250us                1        152.849us        622.250us
contiguous                                    5.810us          1.938us                1          5.810us          1.938us
contiguous                                    4.475us          1.500us                1          4.475us          1.500us
contiguous                                    4.562us          1.562us                1          4.562us          1.562us
contiguous                                    4.530us          1.562us                1          4.530us          1.562us
contiguous                                    4.340us          1.688us                1          4.340us          1.688us
cudnn_batch_norm                             89.832us        602.938us                1         89.832us        602.938us
threshold_                                   48.375us         74.938us                1         48.375us         74.938us
max_pool2d_with_indices                      54.157us         91.938us                1         54.157us         91.938us
to                                        10835.297us       1987.688us                1      10835.297us       1987.688us
empty                                        34.935us          1.562us                1         34.935us          1.562us
to                                          682.834us        677.188us                1        682.834us        677.188us
empty                                        19.974us         20.125us                1         19.974us         20.125us
torch::autograd::GraphRoot                   13.726us          6.062us                1         13.726us          6.062us
MaxPool2DWithIndicesBackward                124.103us        274.312us                1        124.103us        274.312us
max_pool2d_with_indices_backward             69.857us        234.562us                1         69.857us        234.562us
ThresholdBackward1                           83.403us        101.875us                1         83.403us        101.875us
threshold_backward                           63.877us         98.750us                1         63.877us         98.750us
CudnnBatchNormBackward                      163.739us        494.938us                1        163.739us        494.938us
contiguous                                    7.507us          1.750us                1          7.507us          1.750us
cudnn_batch_norm_backward                    99.186us        487.875us                1         99.186us        487.875us
torch::autograd::AccumulateGrad              70.526us         18.938us                1         70.526us         18.938us
torch::autograd::AccumulateGrad              28.866us         37.562us                1         28.866us         37.562us
CudnnConvolutionBackward                    715.633us       3831.688us                1        715.633us       3831.688us
cudnn_convolution_backward                  645.327us       3828.562us                1        645.327us       3828.562us
torch::autograd::AccumulateGrad              41.847us         34.125us                1         41.847us         34.125us
torch::autograd::AccumulateGrad              27.290us         34.312us                1         27.290us         34.312us
ThresholdBackward1                           66.247us        103.250us                1         66.247us        103.250us
threshold_backward                           47.757us        100.062us                1         47.757us        100.062us
CudnnBatchNormBackward                      144.026us        506.188us                1        144.026us        506.188us
contiguous                                    7.083us          1.625us                1          7.083us          1.625us
cudnn_batch_norm_backward                    90.369us        500.000us                1         90.369us        500.000us
torch::autograd::AccumulateGrad              37.639us         33.938us                1         37.639us         33.938us
torch::autograd::AccumulateGrad              24.426us         35.438us                1         24.426us         35.438us
CudnnConvolutionBackward                    578.364us       2621.312us                1        578.364us       2621.312us
cudnn_convolution_backward                  554.297us       2618.125us                1        554.297us       2618.125us
torch::autograd::AccumulateGrad              38.549us         33.250us                1         38.549us         33.250us
torch::autograd::AccumulateGrad              24.427us         33.312us                1         24.427us         33.312us
MaxPool2DWithIndicesBackward                 82.760us        369.438us                1         82.760us        369.438us
max_pool2d_with_indices_backward             58.720us        366.312us                1         58.720us        366.312us
ThresholdBackward1                           65.847us        216.875us                1         65.847us        216.875us
threshold_backward                           49.199us        213.812us                1         49.199us        213.812us
CudnnBatchNormBackward                      142.063us       1216.438us                1        142.063us       1216.438us
contiguous                                    7.063us          1.562us                1          7.063us          1.562us
