------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                         CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
contiguous                                    4.677us          2.250us                1          4.677us          2.250us
contiguous                                    4.517us          1.750us                1          4.517us          1.750us
cudnn_batch_norm                            104.057us       1519.500us                1        104.057us       1519.500us
threshold_                                   52.463us        142.500us                1         52.463us        142.500us
max_pool2d_with_indices                      63.400us        171.000us                1         63.400us        171.000us
conv2d                                      235.274us       1344.750us                1        235.274us       1344.750us
convolution                                 222.491us       1341.000us                1        222.491us       1341.000us
_convolution                                210.688us       1337.750us                1        210.688us       1337.750us
contiguous                                    6.335us          1.750us                1          6.335us          1.750us
empty                                        10.920us          1.750us                1         10.920us          1.750us
cudnn_convolution                           158.820us       1327.750us                1        158.820us       1327.750us
add_                                         51.523us          8.250us                1         51.523us          8.250us
batch_norm                                  188.037us        626.750us                1        188.037us        626.750us
_batch_norm_impl_index                      173.551us        624.000us                1        173.551us        624.000us
contiguous                                    6.809us          1.750us                1          6.809us          1.750us
contiguous                                    4.430us          2.500us                1          4.430us          2.500us
contiguous                                    4.829us          1.250us                1          4.829us          1.250us
contiguous                                    4.757us          2.000us                1          4.757us          2.000us
contiguous                                    5.237us          1.500us                1          5.237us          1.500us
cudnn_batch_norm                            104.227us        603.000us                1        104.227us        603.000us
threshold_                                   52.189us         75.000us                1         52.189us         75.000us
conv2d                                      229.997us       2493.000us                1        229.997us       2493.000us
convolution                                 216.926us       2489.500us                1        216.926us       2489.500us
_convolution                                205.157us       2486.500us                1        205.157us       2486.500us
contiguous                                    6.186us          1.750us                1          6.186us          1.750us
empty                                        11.112us          1.750us                1         11.112us          1.750us
cudnn_convolution                           151.949us       2476.000us                1        151.949us       2476.000us
add_                                         50.917us          8.250us                1         50.917us          8.250us
batch_norm                                  190.323us        631.250us                1        190.323us        631.250us
_batch_norm_impl_index                      176.291us        628.000us                1        176.291us        628.000us
contiguous                                    6.552us          1.750us                1          6.552us          1.750us
contiguous                                    4.861us          1.750us                1          4.861us          1.750us
contiguous                                    4.739us          1.500us                1          4.739us          1.500us
contiguous                                    4.969us          1.750us                1          4.969us          1.750us
contiguous                                    4.972us          1.750us                1          4.972us          1.750us
cudnn_batch_norm                            105.288us        607.750us                1        105.288us        607.750us
threshold_                                   51.500us         76.000us                1         51.500us         76.000us
max_pool2d_with_indices                      58.646us         93.500us                1         58.646us         93.500us
to                                         9868.454us        498.000us                1       9868.454us        498.000us
empty                                        19.043us          1.500us                1         19.043us          1.500us
to                                          559.766us        554.250us                1        559.766us        554.250us
empty                                        20.173us         20.000us                1         20.173us         20.000us
torch::autograd::GraphRoot                   12.640us          5.750us                1         12.640us          5.750us
MaxPool2DWithIndicesBackward                111.550us        264.750us                1        111.550us        264.750us
max_pool2d_with_indices_backward             60.970us        228.750us                1         60.970us        228.750us
ThresholdBackward1                           75.450us        101.500us                1         75.450us        101.500us
threshold_backward                           57.336us         98.500us                1         57.336us         98.500us
CudnnBatchNormBackward                      152.353us        494.750us                1        152.353us        494.750us
contiguous                                    7.270us          1.750us                1          7.270us          1.750us
cudnn_batch_norm_backward                    96.494us        488.000us                1         96.494us        488.000us
torch::autograd::AccumulateGrad              41.237us         30.500us                1         41.237us         30.500us
torch::autograd::AccumulateGrad              26.576us         30.250us                1         26.576us         30.250us
CudnnConvolutionBackward                    630.143us       3850.500us                1        630.143us       3850.500us
cudnn_convolution_backward                  606.173us       3847.500us                1        606.173us       3847.500us
torch::autograd::AccumulateGrad              38.240us         34.750us                1         38.240us         34.750us
torch::autograd::AccumulateGrad              25.320us         34.500us                1         25.320us         34.500us
ThresholdBackward1                           82.863us        130.250us                1         82.863us        130.250us
threshold_backward                           64.373us        127.250us                1         64.373us        127.250us
CudnnBatchNormBackward                      142.490us        506.250us                1        142.490us        506.250us
contiguous                                    7.537us          1.500us                1          7.537us          1.500us
cudnn_batch_norm_backward                    91.093us        500.250us                1         91.093us        500.250us
torch::autograd::AccumulateGrad              38.453us         34.250us                1         38.453us         34.250us
torch::autograd::AccumulateGrad              28.460us         34.500us                1         28.460us         34.500us
CudnnConvolutionBackward                    578.382us       2620.500us                1        578.382us       2620.500us
cudnn_convolution_backward                  554.633us       2617.250us                1        554.633us       2617.250us
torch::autograd::AccumulateGrad              38.367us         33.250us                1         38.367us         33.250us
torch::autograd::AccumulateGrad              24.947us         33.500us                1         24.947us         33.500us
MaxPool2DWithIndicesBackward                 66.504us        377.500us                1         66.504us        377.500us
max_pool2d_with_indices_backward             45.526us        374.250us                1         45.526us        374.250us
ThresholdBackward1                           78.420us        193.500us                1         78.420us        193.500us
threshold_backward                           61.073us        190.500us                1         61.073us        190.500us
CudnnBatchNormBackward                      174.780us       1229.750us                1        174.780us       1229.750us
contiguous                                    6.300us          1.500us                1          6.300us          1.500us
cudnn_batch_norm_backward                    89.323us       1223.500us                1         89.323us       1223.500us
torch::autograd::AccumulateGrad              42.534us         32.500us                1         42.534us         32.500us
torch::autograd::AccumulateGrad              25.684us         32.750us                1         25.684us         32.750us
CudnnConvolutionBackward                   1363.765us       5652.250us                1       1363.765us       5652.250us
cudnn_convolution_backward                 1339.205us       5649.250us                1       1339.205us       5649.250us
torch::autograd::AccumulateGrad              40.620us          8.750us                1         40.620us          8.750us
torch::autograd::AccumulateGrad              25.844us          5.750us                1         25.844us          5.750us
ThresholdBackward1                           67.423us        192.250us                1         67.423us        192.250us
threshold_backward                           49.143us        188.750us                1         49.143us        188.750us
CudnnBatchNormBackward                      147.827us       1229.250us                1        147.827us       1229.250us
contiguous                                    7.107us          1.500us                1          7.107us          1.500us
cudnn_batch_norm_backward                    93.107us       1222.750us                1         93.107us       1222.750us
torch::autograd::AccumulateGrad              37.593us          6.500us                1         37.593us          6.500us
torch::autograd::AccumulateGrad              25.447us          5.750us                1         25.447us          5.750us
CudnnConvolutionBackward                    229.366us        999.750us                1        229.366us        999.750us
cudnn_convolution_backward                  206.047us        996.750us                1        206.047us        996.750us
torch::autograd::AccumulateGrad              38.180us          6.750us                1         38.180us          6.750us
torch::autograd::AccumulateGrad              27.054us          6.250us                1         27.054us          6.250us
HookFuncBackward                             23.273us          1.750us                1         23.273us          1.750us
torch::autograd::AccumulateGrad              78.204us         15.500us                1         78.204us         15.500us
clone                                        53.300us         12.500us                1         53.300us         12.500us
to                                        13312.687us         88.000us                1      13312.687us         88.000us
empty                                        22.074us          1.500us                1         22.074us          1.500us
is_floating_point                             5.311us          5.000us                1          5.311us          5.000us
HookFunc                                     90.322us         90.250us                1         90.322us         90.250us
view_as                                      38.589us         37.500us                1         38.589us         37.500us
view                                         26.446us         27.000us                1         26.446us         27.000us
conv2d                                      268.329us        666.500us                1        268.329us        666.500us
convolution                                 255.492us        657.750us                1        255.492us        657.750us
_convolution                                244.576us        650.250us                1        244.576us        650.250us
contiguous                                    6.603us          6.500us                1          6.603us          6.500us
empty                                        10.800us         10.750us                1         10.800us         10.750us
cudnn_convolution                           190.528us        605.750us                1        190.528us        605.750us
add_                                         51.445us          8.250us                1         51.445us          8.250us
batch_norm                                  178.827us       1543.250us                1        178.827us       1543.250us
_batch_norm_impl_index                      165.280us       1540.000us                1        165.280us       1540.000us
contiguous                                    6.140us          1.500us                1          6.140us          1.500us
contiguous                                    4.452us          1.500us                1          4.452us          1.500us
contiguous                                    5.555us          1.500us                1          5.555us          1.500us
contiguous                                    4.208us          1.750us                1          4.208us          1.750us
contiguous                                    4.130us          1.500us                1          4.130us          1.500us
cudnn_batch_norm                            100.784us       1520.500us                1        100.784us       1520.500us
threshold_                                   51.650us        143.250us                1         51.650us        143.250us
conv2d                                      211.077us       3125.000us                1        211.077us       3125.000us
convolution                                 199.492us       3121.750us                1        199.492us       3121.750us
_convolution                                188.659us       3118.500us                1        188.659us       3118.500us
contiguous                                    6.028us          1.500us                1          6.028us          1.500us
empty                                        10.270us          1.750us                1         10.270us          1.750us
cudnn_convolution                           139.760us       3109.250us                1        139.760us       3109.250us
add_                                         49.197us          8.000us                1         49.197us          8.000us
batch_norm                                  170.213us       1545.250us                1        170.213us       1545.250us
_batch_norm_impl_index                      157.542us       1542.000us                1        157.542us       1542.000us
contiguous                                    6.238us          1.500us                1          6.238us          1.500us
contiguous                                    4.200us          1.500us                1          4.200us          1.500us
contiguous                                    4.600us          1.500us                1          4.600us          1.500us
contiguous                                    4.200us          1.250us                1          4.200us          1.250us
contiguous                                    4.140us          1.750us                1          4.140us          1.750us
cudnn_batch_norm                             94.085us       1523.250us                1         94.085us       1523.250us
threshold_                                   47.715us        142.000us                1         47.715us        142.000us
max_pool2d_with_indices                      56.610us        171.500us                1         56.610us        171.500us
conv2d                                      210.244us       1337.000us                1        210.244us       1337.000us
convolution                                 198.030us       1333.750us                1        198.030us       1333.750us
_convolution                                187.602us       1330.500us                1        187.602us       1330.500us
contiguous                                    5.745us          1.500us                1          5.745us          1.500us
empty                                        10.057us          1.750us                1         10.057us          1.750us
cudnn_convolution                           140.785us       1320.750us                1        140.785us       1320.750us
add_                                         46.968us          8.250us                1         46.968us          8.250us
batch_norm                                  171.500us        626.750us                1        171.500us        626.750us
_batch_norm_impl_index                      158.638us        623.250us                1        158.638us        623.250us
contiguous                                    6.138us          1.500us                1          6.138us          1.500us
contiguous                                    4.705us          1.500us                1          4.705us          1.500us
contiguous                                    4.238us          1.250us                1          4.238us          1.250us
contiguous                                    4.242us          2.250us                1          4.242us          2.250us
contiguous                                    4.143us          1.750us                1          4.143us          1.750us
cudnn_batch_norm                             95.265us        603.750us                1         95.265us        603.750us
threshold_                                   49.472us         75.000us                1         49.472us         75.000us
conv2d                                      209.518us       2494.500us                1        209.518us       2494.500us
convolution                                 197.962us       2491.000us                1        197.962us       2491.000us
_convolution                                187.160us       2488.000us                1        187.160us       2488.000us
contiguous                                    5.578us          2.250us                1          5.578us          2.250us
empty                                        10.297us          1.750us                1         10.297us          1.750us
cudnn_convolution                           139.450us       2477.500us                1        139.450us       2477.500us
add_                                         46.044us          8.250us                1         46.044us          8.250us
batch_norm                                  189.362us        623.500us                1        189.362us        623.500us
_batch_norm_impl_index                      157.643us        620.500us                1        157.643us        620.500us
contiguous                                    5.920us          1.750us                1          5.920us          1.750us
contiguous                                    4.603us          1.500us                1          4.603us          1.500us
contiguous                                    4.103us          1.500us                1          4.103us          1.500us
contiguous                                    4.407us          1.500us                1          4.407us          1.500us
contiguous                                    4.228us          1.750us                1          4.228us          1.750us
cudnn_batch_norm                             93.795us        601.000us                1         93.795us        601.000us
threshold_                                   48.350us         74.250us                1         48.350us         74.250us
max_pool2d_with_indices                      54.435us         92.500us                1         54.435us         92.500us
to                                        11460.824us       1870.250us                1      11460.824us       1870.250us
empty                                        38.200us          1.750us                1         38.200us          1.750us
to                                          574.832us        569.500us                1        574.832us        569.500us
empty                                        20.330us         19.750us                1         20.330us         19.750us
torch::autograd::GraphRoot                   12.574us          5.750us                1         12.574us          5.750us
MaxPool2DWithIndicesBackward                 95.854us        250.500us                1         95.854us        250.500us
max_pool2d_with_indices_backward             60.960us        228.750us                1         60.960us        228.750us
ThresholdBackward1                           77.096us        101.750us                1         77.096us        101.750us
threshold_backward                           59.450us         98.500us                1         59.450us         98.500us
CudnnBatchNormBackward                      155.210us        512.500us                1        155.210us        512.500us
contiguous                                    9.654us          1.500us                1          9.654us          1.500us
cudnn_batch_norm_backward                    91.423us        506.000us                1         91.423us        506.000us
torch::autograd::AccumulateGrad              41.723us         31.000us                1         41.723us         31.000us
torch::autograd::AccumulateGrad              34.807us         31.000us                1         34.807us         31.000us
CudnnConvolutionBackward                    639.739us       3958.000us                1        639.739us       3958.000us
cudnn_convolution_backward                  613.143us       3955.000us                1        613.143us       3955.000us
torch::autograd::AccumulateGrad              44.576us         34.750us                1         44.576us         34.750us
torch::autograd::AccumulateGrad              30.823us         34.250us                1         30.823us         34.250us
ThresholdBackward1                           69.710us        129.500us                1         69.710us        129.500us
threshold_backward                           50.564us        126.250us                1         50.564us        126.250us
CudnnBatchNormBackward                      149.883us        493.750us                1        149.883us        493.750us
contiguous                                    7.387us          1.500us                1          7.387us          1.500us
cudnn_batch_norm_backward                    94.326us        487.500us                1         94.326us        487.500us
torch::autograd::AccumulateGrad              41.684us         34.500us                1         41.684us         34.500us
torch::autograd::AccumulateGrad              26.006us         34.250us                1         26.006us         34.250us
CudnnConvolutionBackward                    592.563us       2622.250us                1        592.563us       2622.250us
cudnn_convolution_backward                  568.266us       2619.000us                1        568.266us       2619.000us
torch::autograd::AccumulateGrad              40.457us         33.500us                1         40.457us         33.500us
torch::autograd::AccumulateGrad              31.396us         33.500us                1         31.396us         33.500us
MaxPool2DWithIndicesBackward                 86.290us        374.500us                1         86.290us        374.500us
max_pool2d_with_indices_backward             61.937us        371.250us                1         61.937us        371.250us
ThresholdBackward1                           70.243us        218.750us                1         70.243us        218.750us
threshold_backward                           52.610us        215.500us                1         52.610us        215.500us
CudnnBatchNormBackward                      148.933us       1244.000us                1        148.933us       1244.000us
contiguous                                    7.143us          1.750us                1          7.143us          1.750us
cudnn_batch_norm_backward                    93.926us       1237.750us                1         93.926us       1237.750us
torch::autograd::AccumulateGrad              39.590us         32.250us                1         39.590us         32.250us
torch::autograd::AccumulateGrad              26.097us         32.250us                1         26.097us         32.250us
CudnnConvolutionBackward                   1377.045us       5655.750us                1       1377.045us       5655.750us
cudnn_convolution_backward                 1352.592us       5652.500us                1       1352.592us       5652.500us
torch::autograd::AccumulateGrad              41.810us          8.750us                1         41.810us          8.750us
torch::autograd::AccumulateGrad              26.230us          5.750us                1         26.230us          5.750us
ThresholdBackward1                           73.766us        190.750us                1         73.766us        190.750us
threshold_backward                           54.470us        187.750us                1         54.470us        187.750us
CudnnBatchNormBackward                      166.540us       1267.250us                1        166.540us       1267.250us
contiguous                                    7.277us          1.500us                1          7.277us          1.500us
cudnn_batch_norm_backward                   103.930us       1261.250us                1        103.930us       1261.250us
torch::autograd::AccumulateGrad              40.046us          6.500us                1         40.046us          6.500us
torch::autograd::AccumulateGrad              25.180us          5.750us                1         25.180us          5.750us
CudnnConvolutionBackward                    253.443us       1004.750us                1        253.443us       1004.750us
cudnn_convolution_backward                  228.143us       1001.500us                1        228.143us       1001.500us
torch::autograd::AccumulateGrad              43.284us          6.500us                1         43.284us          6.500us
torch::autograd::AccumulateGrad              25.900us          5.750us                1         25.900us          5.750us
HookFuncBackward                             24.263us          1.750us                1         24.263us          1.750us
torch::autograd::AccumulateGrad              70.960us         15.250us                1         70.960us         15.250us
clone                                        56.887us         12.250us                1         56.887us         12.250us
to                                        13362.527us        103.000us                1      13362.527us        103.000us
empty                                        22.450us          2.000us                1         22.450us          2.000us
is_floating_point                             5.154us          5.000us                1          5.154us          5.000us
HookFunc                                     81.443us         80.750us                1         81.443us         80.750us
view_as                                      39.357us         38.750us                1         39.357us         38.750us
view                                         26.988us         27.000us                1         26.988us         27.000us
conv2d                                      279.383us        676.000us                1        279.383us        676.000us
convolution                                 266.188us        667.250us                1        266.188us        667.250us
_convolution                                254.443us        659.000us                1        254.443us        659.000us
contiguous                                    6.831us          7.000us                1          6.831us          7.000us
empty                                        11.654us         11.000us                1         11.654us         11.000us
cudnn_convolution                           198.192us        611.500us                1        198.192us        611.500us
add_                                         57.023us          8.500us                1         57.023us          8.500us
batch_norm                                  195.868us       1578.750us                1        195.868us       1578.750us
_batch_norm_impl_index                      181.071us       1575.250us                1        181.071us       1575.250us
contiguous                                    6.955us          1.750us                1          6.955us          1.750us
contiguous                                    4.560us          1.500us                1          4.560us          1.500us
contiguous                                    4.760us          1.750us                1          4.760us          1.750us
contiguous                                    5.351us          1.500us                1          5.351us          1.500us
contiguous                                    4.440us          1.500us                1          4.440us          1.500us
cudnn_batch_norm                            111.329us       1555.500us                1        111.329us       1555.500us
threshold_                                   58.014us        142.750us                1         58.014us        142.750us
conv2d                                      232.051us       3145.000us                1        232.051us       3145.000us
convolution                                 218.500us       3142.000us                1        218.500us       3142.000us
_convolution                                207.100us       3138.250us                1        207.100us       3138.250us
contiguous                                    5.960us          1.750us                1          5.960us          1.750us
empty                                        11.538us          1.500us                1         11.538us          1.500us
cudnn_convolution                           154.045us       3128.500us                1        154.045us       3128.500us
add_                                         51.357us          8.000us                1         51.357us          8.000us
batch_norm                                  190.277us       1548.250us                1        190.277us       1548.250us
_batch_norm_impl_index                      175.825us       1545.250us                1        175.825us       1545.250us
contiguous                                    6.515us          1.500us                1          6.515us          1.500us
contiguous                                    5.377us          1.750us                1          5.377us          1.750us
contiguous                                    4.752us          1.750us                1          4.752us          1.750us
contiguous                                    5.400us          1.500us                1          5.400us          1.500us
contiguous                                    4.503us          1.500us                1          4.503us          1.500us
cudnn_batch_norm                            105.649us       1525.500us                1        105.649us       1525.500us
threshold_                                   52.646us        144.250us                1         52.646us        144.250us
max_pool2d_with_indices                      80.071us        171.000us                1         80.071us        171.000us
conv2d                                      238.403us       1357.500us                1        238.403us       1357.500us
convolution                                 225.545us       1353.750us                1        225.545us       1353.750us
_convolution                                213.308us       1350.750us                1        213.308us       1350.750us
contiguous                                    6.037us          1.500us                1          6.037us          1.500us
empty                                        11.012us          1.500us                1         11.012us          1.500us
cudnn_convolution                           160.817us       1341.250us                1        160.817us       1341.250us
add_                                         50.746us          8.250us                1         50.746us          8.250us
batch_norm                                  187.499us        624.500us                1        187.499us        624.500us
_batch_norm_impl_index                      172.442us        621.000us                1        172.442us        621.000us
contiguous                                    6.540us          1.750us                1          6.540us          1.750us
contiguous                                    5.126us          2.500us                1          5.126us          2.500us
contiguous                                    4.797us          1.500us                1          4.797us          1.500us
contiguous                                    4.701us          1.500us                1          4.701us          1.500us
contiguous                                    4.414us          1.750us                1          4.414us          1.750us
cudnn_batch_norm                            102.514us        600.250us                1        102.514us        600.250us
threshold_                                   53.342us         74.750us                1         53.342us         74.750us
conv2d                                      230.216us       2457.250us                1        230.216us       2457.250us
convolution                                 217.069us       2454.500us                1        217.069us       2454.500us
_convolution                                205.660us       2451.000us                1        205.660us       2451.000us
contiguous                                    5.816us          1.750us                1          5.816us          1.750us
empty                                        10.946us          1.750us                1         10.946us          1.750us
cudnn_convolution                           153.331us       2440.750us                1        153.331us       2440.750us
add_                                         51.949us          8.500us                1         51.949us          8.500us
batch_norm                                  184.573us        625.250us                1        184.573us        625.250us
_batch_norm_impl_index                      170.237us        622.000us                1        170.237us        622.000us
contiguous                                    6.483us          1.500us                1          6.483us          1.500us
contiguous                                    5.300us          2.000us                1          5.300us          2.000us
contiguous                                    4.911us          1.500us                1          4.911us          1.500us
contiguous                                    4.611us          1.750us                1          4.611us          1.750us
contiguous                                    4.440us          2.000us                1          4.440us          2.000us
cudnn_batch_norm                            101.406us        601.750us                1        101.406us        601.750us
threshold_                                   52.499us         74.750us                1         52.499us         74.750us
max_pool2d_with_indices                      60.128us         91.250us                1         60.128us         91.250us
to                                         9843.393us        494.250us                1       9843.393us        494.250us
empty                                        18.517us          2.000us                1         18.517us          2.000us
to                                          567.432us        561.000us                1        567.432us        561.000us
empty                                        19.637us         19.000us                1         19.637us         19.000us
torch::autograd::GraphRoot                   12.903us          6.250us                1         12.903us          6.250us
MaxPool2DWithIndicesBackward                 90.797us        247.000us                1         90.797us        247.000us
max_pool2d_with_indices_backward             58.253us        226.750us                1         58.253us        226.750us
ThresholdBackward1                           92.016us        104.250us                1         92.016us        104.250us
threshold_backward                           59.753us        101.250us                1         59.753us        101.250us
CudnnBatchNormBackward                      155.193us        507.750us                1        155.193us        507.750us
contiguous                                    7.470us          1.750us                1          7.470us          1.750us
cudnn_batch_norm_backward                    99.133us        501.250us                1         99.133us        501.250us
torch::autograd::AccumulateGrad              42.374us         31.250us                1         42.374us         31.250us
torch::autograd::AccumulateGrad              26.283us         30.250us                1         26.283us         30.250us
CudnnConvolutionBackward                    666.619us       3880.000us                1        666.619us       3880.000us
cudnn_convolution_backward                  641.406us       3876.750us                1        641.406us       3876.750us
torch::autograd::AccumulateGrad              41.913us         33.750us                1         41.913us         33.750us
torch::autograd::AccumulateGrad              26.144us         34.500us                1         26.144us         34.500us
ThresholdBackward1                           68.113us        130.250us                1         68.113us        130.250us
threshold_backward                           48.993us        126.750us                1         48.993us        126.750us
CudnnBatchNormBackward                      152.326us        502.500us                1        152.326us        502.500us
contiguous                                    7.730us          1.500us                1          7.730us          1.500us
cudnn_batch_norm_backward                    93.440us        496.000us                1         93.440us        496.000us
torch::autograd::AccumulateGrad              39.013us         34.250us                1         39.013us         34.250us
torch::autograd::AccumulateGrad              28.933us         34.250us                1         28.933us         34.250us
CudnnConvolutionBackward                    613.482us       2587.000us                1        613.482us       2587.000us
cudnn_convolution_backward                  589.279us       2583.750us                1        589.279us       2583.750us
torch::autograd::AccumulateGrad              40.740us         33.000us                1         40.740us         33.000us
torch::autograd::AccumulateGrad              26.207us         33.000us                1         26.207us         33.000us
MaxPool2DWithIndicesBackward                 67.686us        366.750us                1         67.686us        366.750us
max_pool2d_with_indices_backward             46.223us        363.500us                1         46.223us        363.500us
ThresholdBackward1                           64.790us        217.500us                1         64.790us        217.500us
threshold_backward                           48.713us        214.250us                1         48.713us        214.250us
CudnnBatchNormBackward                      144.366us       1246.500us                1        144.366us       1246.500us
contiguous                                    7.034us          1.750us                1          7.034us          1.750us
cudnn_batch_norm_backward                    91.007us       1240.500us                1         91.007us       1240.500us
torch::autograd::AccumulateGrad              41.857us         33.000us                1         41.857us         33.000us
torch::autograd::AccumulateGrad              35.677us         33.000us                1         35.677us         33.000us
CudnnConvolutionBackward                   1355.331us       5643.500us                1       1355.331us       5643.500us
cudnn_convolution_backward                 1330.535us       5640.500us                1       1330.535us       5640.500us
torch::autograd::AccumulateGrad              42.060us          9.000us                1         42.060us          9.000us
torch::autograd::AccumulateGrad              25.430us          5.500us                1         25.430us          5.500us
ThresholdBackward1                           65.433us        191.000us                1         65.433us        191.000us
threshold_backward                           47.073us        187.750us                1         47.073us        187.750us
CudnnBatchNormBackward                      149.317us       1230.500us                1        149.317us       1230.500us
contiguous                                    6.960us          1.500us                1          6.960us          1.500us
cudnn_batch_norm_backward                    93.807us       1224.750us                1         93.807us       1224.750us
torch::autograd::AccumulateGrad              40.203us          6.500us                1         40.203us          6.500us
torch::autograd::AccumulateGrad              25.813us          5.750us                1         25.813us          5.750us
CudnnConvolutionBackward                    232.010us       1000.750us                1        232.010us       1000.750us
cudnn_convolution_backward                  208.096us        997.000us                1        208.096us        997.000us
torch::autograd::AccumulateGrad              37.283us          6.250us                1         37.283us          6.250us
torch::autograd::AccumulateGrad              27.020us          5.500us                1         27.020us          5.500us
HookFuncBackward                             23.606us          1.750us                1         23.606us          1.750us
torch::autograd::AccumulateGrad              70.783us         15.500us                1         70.783us         15.500us
clone                                        55.780us         12.250us                1         55.780us         12.250us
div_                                         69.377us          6.750us                1         69.377us          6.750us
div_                                         36.170us          5.750us                1         36.170us          5.750us
div_                                         31.037us          6.000us                1         31.037us          6.000us
div_                                         28.926us          5.750us                1         28.926us          5.750us
div_                                         30.943us          7.250us                1         30.943us          7.250us
div_                                         29.197us          6.000us                1         29.197us          6.000us
div_                                         31.184us          5.750us                1         31.184us          5.750us
div_                                         29.107us          5.750us                1         29.107us          5.750us
div_                                         30.100us          8.500us                1         30.100us          8.500us
div_                                         28.473us          6.000us                1         28.473us          6.000us
div_                                         28.600us          5.750us                1         28.600us          5.750us
div_                                         27.840us          6.000us                1         27.840us          6.000us
div_                                         44.387us         12.250us                1         44.387us         12.250us
div_                                         30.967us          5.500us                1         30.967us          5.500us
div_                                         31.947us          5.750us                1         31.947us          5.750us
div_                                         29.993us          5.750us                1         29.993us          5.750us
add_                                         36.613us          6.500us                1         36.613us          6.500us
mul_                                         47.210us          6.750us                1         47.210us          6.750us
add_                                         31.153us          5.750us                1         31.153us          5.750us
